timestamp, melody, chord
 0.00,B4 ,C
 0.05,C4 ,C
 0.09,C4 ,C
 0.14,G4 ,C
 0.19,C4 ,C
 0.23,G4 ,G
 0.28,G4 ,G
 0.33,G3 ,G
 0.37,G3 ,G
 0.42,G3 ,C
 0.46,G3 ,G
 0.51,G3 ,G
 0.56,G3 ,G
 0.60,G3 ,G
 0.65,G3 ,G
 0.70,B4 ,C
 0.74,B4 ,C
 0.79,B4 ,C
 0.84,B4 ,C
 0.88,B5 ,C
 0.93,C4 ,C
 0.98,G4 ,C
 1.02,D5 ,C
 1.07,C5 ,C
 1.11,C4 ,C
 1.16,C5 ,C
 1.21,C5 ,C
 1.25,C5 ,C
 1.30,C5 ,C
 1.35,B4 ,C
 1.39,B4 ,C
 1.44,C4 ,C
 1.49,C4 ,C
 1.53,C5 ,C
 1.58,B4 ,C
 1.63,C5 ,C
 1.67,C5 ,C
 1.72,C5 ,C
 1.76,G4 ,C
 1.81,G4 ,C
 1.86,C5 ,C
 1.90,C5 ,C
 1.95,G4 ,C
 2.00,C4 ,C
 2.04,G4 ,C
 2.09,C4 ,C
 2.14,C4 ,C
 2.18,C4 ,C
 2.23,C4 ,C
 2.28,G4 ,C
 2.32,C5 ,C
 2.37,G4 ,C
 2.41,G4 ,G
 2.46,G4 ,G
 2.51,G4 ,G
 2.55,G4 ,G
 2.60,G4 ,C
 2.65,G4 ,G
 2.69,G♯4,G
 2.74,G4 ,G
 2.79,G4 ,G
 2.83,G4 ,G
 2.88,D4 ,D
 2.93,D4 ,D
 2.97,D4 ,D
 3.02,D4 ,D
 3.07,D4 ,G
 3.11,D4 ,G
 3.16,G4 ,G
 3.20,D4 ,G
 3.25,D4 ,G
 3.30,G4 ,G
 3.34,D4 ,G
 3.39,B4 ,G
 3.44,G3 ,G
 3.48,G3 ,G
 3.53,B4 ,G
 3.58,D4 ,G
 3.62,D4 ,G
 3.67,D4 ,G
 3.72,C5 ,G
 3.76,G3 ,G
 3.81,D4 ,G
 3.85,D4 ,G
 3.90,D4 ,G
 3.95,D4 ,G
 3.99,D4 ,G
 4.04,B4 ,G
 4.09,G3 ,G
 4.13,C5 ,G
